product_title,product_vendor,product_type,net_quantity,net_sales,total_cost,gross_margin,gross_profit
Multi Mineral Blend,"Yaya Holistic, LLC",Holistic Apothecary,4407,164483.210,35988.550,0.7812,128494.660
Inflammation Defense,"Yaya Holistic, LLC",Holistic Apothecary,565,19194.020,5650.000,0.70563,13544.020
Hema Health,"Yaya Holistic, LLC",,520,15503.310,4550.000,0.70651,10953.310
Endocrine Bliss,"Yaya Holistic, LLC",Holistic Apothecary,374,13143.000,4779.720,0.63632,8363.280
Multi Mineral Blend (Pre-Order),"Yaya Holistic, LLC",Holistic Apothecary,360,9577.380,2772.000,0.71056,6805.380
Multi Mineral Blend - Pre-Order (ships within 4-8 weeks),"Yaya Holistic, LLC",Holistic Apothecary,223,5042.770,1561.000,0.69044,3481.770
Alkaline Now,"Yaya Holistic, LLC",Holistic Apothecary,518,5636.770,3512.040,0.37694,2124.730
Multi Mineral Blend (Pre-Order - Ships on 07/01/2022),"Yaya Holistic, LLC",Holistic Apothecary,42,1399.600,344.400,0.75392,1055.200
Heavy Metal Detox,"Yaya Holistic, LLC",,15,874.960,249.450,0.7149,625.510
Cell Phone EMF Shield Mind Guardian,"Yaya Holistic, LLC",,53,1374.320,795.000,0.42153,579.320
Multi Mineral Blend (Pre-Order - Shipping Now),"Yaya Holistic, LLC",Holistic Apothecary,12,419.880,98.400,0.76564,321.480
Chakra Tuner Power Pendant,"Yaya Holistic, LLC",,6,287.940,155.000,0.46169,132.940
Conscious Collagen Skin Serum,"Yaya Holistic, LLC",,28,184.890,54.040,0.70771,130.850
Health & Wealth Slim Power Pendant,"Yaya Holistic, LLC",,5,206.950,125.000,0.39598,81.950
Protector Power Pendant,"Yaya Holistic, LLC",,6,230.870,155.000,0.32862,75.870
5G EMF Triskelion Bracelet,"Yaya Holistic, LLC",,3,119.970,45.000,0.6249,74.970
5G DNA Repair Triskelion Bracelet,"Yaya Holistic, LLC",,3,115.980,45.000,0.612,70.980
Orgone Pocket Pal,"Yaya Holistic, LLC",,5,143.950,75.000,0.47898,68.950
Arthritis Aid Triskelion Bracelet,"Yaya Holistic, LLC",,3,109.970,45.000,0.59079,64.970
Abundance Triskelion Bracelet,"Yaya Holistic, LLC",,3,102.980,45.000,0.56302,57.980
Truth Power Pendant,"Yaya Holistic, LLC",,5,174.220,125.000,0.28251,49.220
PSI Shield Triskelion Bracelet,"Yaya Holistic, LLC",,3,91.970,45.000,0.51071,46.970
Deep Sleep Power Pendant,"Yaya Holistic, LLC",,4,147.960,105.000,0.29034,42.960
Tranquility Slim Power Pendant,"Yaya Holistic, LLC",,2,89.990,50.000,0.44438,39.990
Aboriginal Power Pendant,"Yaya Holistic, LLC",,2,94.980,55.000,0.42093,39.980
Prosperity Power Pendant,"Yaya Holistic, LLC",,5,160.960,125.000,0.2234,35.960
SuperNature Power Pendant,"Yaya Holistic, LLC",,1,59.990,25.000,0.58326,34.990
EMF Guard Slim Power Pendant,"Yaya Holistic, LLC",,2,82.500,50.000,0.39393,32.500
DNA Repair Power Pendant,"Yaya Holistic, LLC",,2,85.990,55.000,0.36039,30.990
Protector Slim Power Pendant,"Yaya Holistic, LLC",,3,99.980,75.000,0.24984,24.980
Crystal Detox Power Pendant,"Yaya Holistic, LLC",,2,75.980,55.000,0.27612,20.980
Inner Vision Power Pendant,"Yaya Holistic, LLC",,3,104.980,85.000,0.19032,19.980
Focus Slim Power Pendant,"Yaya Holistic, LLC",,2,69.980,50.000,0.28551,19.980
Wisdom Power Pendant,"Yaya Holistic, LLC",,1,48.000,30.000,0.375,18.000
Shamanic Healer Power Pendant,"Yaya Holistic, LLC",,1,34.990,25.000,0.28551,9.990
Higher Mind Power Pendant,"Yaya Holistic, LLC",,4,117.180,110.000,0.06127,7.180
Inner Balance Power Pendant,"Yaya Holistic, LLC",,3,69.980,80.000,-0.14318,-10.020
Pregnancy Power Pendant,"Yaya Holistic, LLC",,4,94.480,105.000,-0.11134,-10.520
