discount_name,orders,total_gross_sales,total_discount_amount,total_returns,total_net_sales,total_shipping_price,total_tax_amount,grand_total_sales
TINI10,723,63999.510,-6230.000,-584.310,57144.220,4792.510,284.980,62447.780
Black Friday Sale,324,55343.220,-26971.700,-227.500,28144.020,2461.800,159.090,30988.660
TINI20,263,21268.390,-3750.680,-32.990,17063.960,2086.140,111.170,19379.910
50% OFF FLASH SALE,141,12202.620,-5478.960,-7.500,5471.730,480.000,77.540,6088.520
TINI25,138,12412.490,-3102.280,-10.000,9300.210,1506.160,54.890,10925.350
KTINI,119,8150.150,-3584.540,0.000,4094.730,573.010,37.400,4745.100
FUIAN,75,4822.250,-1909.800,0.000,2474.470,292.500,34.430,2854.030
SALE10,71,5682.090,-554.100,-107.990,5020.000,233.300,11.690,5304.790
BOGO 40% Off Multi Mineral Blend,71,9630.040,-1994.110,0.000,7635.930,469.150,24.660,8160.740
Multi Mineral Blend Sale,65,7078.560,-1624.310,0.000,5454.250,592.500,19.290,6079.170
50% OFF Sale,57,8729.960,-4295.000,-50.000,4384.960,535.750,37.670,5000.130
BOGO 50% Off Multi Mineral Blend,53,4138.740,-799.600,0.000,2806.700,228.250,23.530,3121.120
25% Off Flash Sale,50,4534.060,-1133.230,0.000,3400.830,475.000,9.900,3907.250
Fall Sale,46,5688.830,-1674.910,0.000,4013.920,488.800,37.340,4560.880
JUNE15,45,4019.350,-602.550,0.000,3416.800,205.000,3.920,3625.720
TY65,44,4227.350,-2638.490,0.000,1434.860,184.030,1.870,1650.830
FS45,44,5793.810,-2607.060,0.000,3186.750,418.200,12.030,3619.590
LABORDAY,44,5238.130,-2148.450,0.000,2998.680,142.500,7.580,3211.320
Labor Day Weekend Sale,37,4933.950,-1425.980,0.000,3507.970,325.000,24.280,3910.440
YAYA15,34,2665.500,-399.410,0.000,2266.090,293.110,11.350,2585.640
YAYA10,30,3705.460,-370.290,0.000,3335.170,31.300,0.000,3366.470
Mother's Day Sale,30,2829.380,-707.170,0.000,2122.210,135.000,5.700,2277.610
10MORE,29,2234.130,-223.210,-9.000,2001.920,270.950,17.170,2294.520
20% Spring Sale Discount,26,3474.370,-694.730,0.000,2779.640,159.900,12.490,2967.630
12 Day Seasonal Sale,24,4649.860,-1975.000,0.000,2674.860,254.760,12.620,2958.490
30% Off Flash Sale,24,2219.530,-658.240,0.000,1561.290,228.000,0.000,1802.160
Spooky Sale,22,2354.520,-729.800,0.000,1624.720,239.100,3.350,1889.220
End of Summer Sale,21,3179.310,-788.470,0.000,2390.840,192.000,0.000,2589.160
Veteran's Day Sale,21,1984.590,-496.020,0.000,1488.570,223.540,0.000,1712.110
Burdock Discount,21,2914.490,-263.760,0.000,2650.730,70.000,0.000,2772.840
Valentine’s Day Sale,21,2038.670,-305.650,0.000,1733.020,140.000,14.840,1887.860
SALE45,20,2449.500,-1102.210,0.000,1347.290,318.210,8.210,1676.460
20% Off Weekend Sale,20,2744.520,-548.800,0.000,2195.720,56.000,21.930,2301.250
KT20,20,1384.710,-271.800,0.000,1112.910,180.500,9.740,1312.150
25% Off Blowout Sale,19,2669.400,-492.290,0.000,2177.110,123.500,0.000,2353.730
REV20,18,2541.550,-475.810,0.000,2065.740,44.490,16.030,2131.260
50% Off Select Herbal Blends,18,2559.490,-999.740,0.000,1559.750,150.000,15.050,1732.050
NEXT10,18,1565.720,-130.320,0.000,1435.400,68.530,0.000,1504.930
BIZ15,17,1514.740,-220.330,0.000,1294.410,65.000,7.140,1366.550
SPRING25,17,1839.610,-459.810,0.000,1379.800,108.930,5.600,1504.630
SCARY,14,1184.790,-367.350,0.000,817.440,105.000,16.760,948.200
SALE15,12,959.840,-143.880,0.000,815.960,13.540,0.000,829.500
EMF30,12,1259.870,-377.880,0.000,881.990,14.500,0.000,896.490
40% OFF FLASH SALE,11,1069.810,-427.880,0.000,641.930,75.000,0.000,722.930
Stimulus Sunday Sale,11,1539.740,-307.890,0.000,1231.850,70.000,0.000,1309.050
Independence Day Sale,10,1104.760,-220.900,0.000,883.860,85.500,0.000,1004.290
SAVE15,10,1164.810,-168.650,0.000,996.160,44.000,21.870,1067.130
MD15,10,1239.790,-185.900,0.000,1053.890,15.000,15.290,1084.180
2023 FLASH SALE,9,1050.000,-210.000,0.000,840.000,63.000,3.190,918.190
FDAY20,9,1014.790,-202.910,0.000,811.880,30.000,6.380,859.260
New Year's Sale,8,1109.970,-480.000,0.000,629.970,71.400,0.000,702.370
15MORE,8,760.000,-266.000,0.000,494.000,63.000,8.540,565.540
BF15,8,659.890,-98.920,0.000,560.970,0.000,0.000,560.970
YAYA20,7,559.900,-70.930,-54.000,434.970,29.500,0.000,468.070
MELISSA,7,1396.660,-243.910,0.000,1152.750,20.400,0.000,1173.150
SM20,7,779.860,-119.930,0.000,659.930,25.000,0.000,684.930
NINO10,6,549.910,-54.940,0.000,494.970,29.000,11.020,534.990
Natural Immunity Sale,6,644.840,-171.430,0.000,473.410,30.000,0.000,508.170
TP20,6,820.330,-161.240,0.000,645.100,41.000,0.000,693.410
MMB15,6,734.870,-71.940,0.000,662.930,10.000,7.140,680.070
GUAC20,5,889.830,-177.940,0.000,711.890,9.990,0.000,730.680
TINI50,5,334.910,-107.460,0.000,187.470,25.200,0.000,212.670
FSF15,5,779.890,-116.950,0.000,662.940,35.000,14.020,711.960
MMB20,5,300.930,-43.970,0.000,235.970,10.000,0.000,245.970
MELG10,5,389.930,-38.950,0.000,350.980,38.000,13.360,402.340
SRY15,5,779.870,-116.950,0.000,662.920,5.000,0.000,667.920
July 4th Weekend Sale,5,459.930,-68.950,0.000,390.980,35.000,0.000,425.980
NEW10,4,404.930,-35.960,0.000,368.970,10.000,0.000,378.970
CHI10,4,359.940,-35.960,0.000,323.980,10.000,9.180,343.160
Free Alkaline Now,4,783.790,-55.960,0.000,727.830,5.000,11.760,757.190
HA10,4,329.940,-32.960,0.000,296.980,24.200,0.000,321.180
USA20,4,399.940,-79.960,0.000,319.980,20.000,0.000,339.980
BEST20,4,644.860,-128.950,0.000,515.910,29.200,8.550,553.660
EARTH,4,359.940,-53.960,0.000,305.980,10.000,0.000,315.980
ID20,4,519.910,-93.960,0.000,425.950,0.000,0.000,425.950
VD20,3,239.960,-47.970,0.000,191.990,13.540,0.000,205.530
EVOKE10,3,179.970,-17.970,0.000,162.000,0.000,4.050,166.050
FBT-BUNDLE-P-183754F805C,2,176.990,-30.000,0.000,69.990,7.500,0.000,77.490
BLISS30,2,119.980,-35.980,0.000,84.000,0.000,0.000,84.000
CLEAR40,2,399.980,-159.980,0.000,240.000,0.000,0.000,240.000
MOTHER15,2,195.990,-29.390,0.000,166.600,0.000,5.950,172.550
TEST,2,299.950,-44.980,0.000,254.970,0.000,0.000,254.970
SV20,2,119.980,-23.980,0.000,96.000,0.000,0.000,96.000
ESTR10,2,239.960,-23.980,0.000,215.980,5.000,0.000,220.980
HERBAL15,2,119.980,-17.980,0.000,102.000,0.000,7.400,109.400
ID25,2,134.970,-33.730,0.000,101.240,10.000,0.000,111.240
FBT-BUNDLE-P-18386C9DD8C,2,106.990,-30.000,0.000,69.990,7.500,0.000,77.490
KT25,2,299.950,-74.980,0.000,224.970,0.000,0.000,224.970
LOYAL,1,279.960,-55.990,0.000,223.970,0.000,0.000,223.970
J9JNTUXW,1,49.990,-7.490,0.000,42.500,5.000,0.000,47.500
GRPAYKIbP98H6,1,32.990,-1.000,0.000,31.990,5.000,2.590,39.580
GRPAY9nmFx7BZ,1,143.900,-3.000,0.000,140.900,0.000,9.860,150.760
9DWBPEBD,1,49.990,-7.490,0.000,42.500,9.500,0.000,52.000
yaya20,1,59.990,-11.990,0.000,48.000,5.000,0.000,53.000
X46UB1WU,1,99.980,-14.990,0.000,84.990,9.500,0.000,94.490
4W7AXQFQ,1,49.990,-7.490,0.000,42.500,9.500,0.000,52.000
CGJJ3DHS,1,149.970,-22.490,0.000,127.480,0.000,8.920,136.400
PFESTADS,1,94.980,-14.240,0.000,80.740,9.990,0.000,90.730
SWKXOMJR,1,54.990,-8.240,0.000,46.750,30.000,0.000,76.750
HDZKZOOO,1,199.960,-29.990,0.000,169.970,0.000,0.000,169.970
GRyIsrcd30,1,107.960,-5.000,0.000,102.960,7.500,0.000,110.460
KK3QYFRH,1,29.990,-4.490,0.000,25.500,9.990,0.000,35.490
BSTUFBY3,1,49.990,-7.490,0.000,42.500,9.500,0.000,52.000
TADFP9XF,1,99.980,-14.990,0.000,84.990,5.000,0.000,89.990
COV20,1,139.990,-27.990,0.000,112.000,0.000,0.000,112.000
5L8J68ZZ,1,99.980,-14.990,0.000,84.990,9.500,0.000,94.490
5G10,1,159.980,-15.990,0.000,143.990,0.000,0.000,143.990
AXLUULOR,1,164.970,-24.740,0.000,140.230,0.000,0.000,147.240
QCJSZTMG,1,49.990,-7.490,0.000,42.500,5.000,0.000,47.500
ODG1JD4V,1,164.970,-24.740,0.000,140.230,0.000,0.000,140.230
0LAJID4N,1,49.990,-7.490,0.000,42.500,9.500,0.000,52.000
RXF7XCGG,1,299.940,-44.990,0.000,254.950,0.000,0.000,254.950
RTZ5QLYA,1,79.980,-11.990,0.000,67.990,9.990,0.000,77.980
T5IMFPHB,1,49.990,-7.490,0.000,42.500,9.500,3.650,55.650
BILEODBC,1,49.990,-7.490,0.000,42.500,9.990,0.000,52.490
FXHK7ET1,1,49.990,-7.490,0.000,42.500,9.990,0.000,52.490
EDAEAKRB,1,64.990,-9.740,0.000,55.250,9.990,0.000,65.240
J2HKKCCS,1,49.990,-7.490,0.000,42.500,5.000,0.000,47.500
RBG12GFP,1,129.970,-19.490,0.000,110.480,0.000,0.000,110.480
D0GORHUX,1,99.980,-14.990,0.000,84.990,9.500,0.000,94.490
VUR1ZH0C,1,94.980,-14.240,0.000,80.740,5.000,0.000,85.740
FBT-BUNDLE-P-185262F1036,1,49.980,-14.990,0.000,34.990,9.000,0.000,43.990
LL3MV76R,1,84.980,-12.740,0.000,72.240,9.500,0.000,81.740
0TSBBWA3,1,49.990,-7.490,0.000,42.500,10.200,0.000,52.700
CS25,1,99.980,-24.990,0.000,74.990,36.660,0.000,111.650
6PYFATK9,1,49.990,-7.490,0.000,42.500,5.000,0.000,47.500
3GQMMBL5,1,49.990,-7.490,0.000,42.500,5.000,0.000,47.500
JMKTCXVF,1,94.980,-14.240,0.000,80.740,5.000,0.000,85.740
