product_title,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales
Deluxe Alkaline mineral blend,55,3299.450,-311.750,0.000,2987.700,0.000,2987.700
Endocrine Bliss,30,1533.700,-96.510,0.000,1437.190,0.000,1437.190
Alkaline mineral blend,23,1149.770,-39.920,0.000,1109.850,0.000,1109.850
Evoke,12,719.880,-41.960,0.000,677.920,4.050,681.970
Augienb 12000L Water Ionizer Purifier Machine,1,1299.980,-65.000,-649.990,584.990,0.000,584.990
Herbal flex,9,539.910,-53.940,0.000,485.970,7.400,493.370
4L Water Distiller - Stainless Steel Purifier Filter With Glass Jar - Household Distilled water machine,3,599.970,-159.980,0.000,439.990,14.000,453.990
8oz Colloidal silver,6,299.940,-9.980,0.000,289.960,0.000,289.960
8oz Colloidal gold,4,199.960,-4.990,0.000,194.970,0.000,194.970
"Grounding, Self-Worth, Spiritual Enrichment, Self-Esteem Pendant",2,199.980,-10.000,0.000,189.980,0.000,189.980
Healing Tower,2,199.980,-19.990,0.000,179.990,0.000,179.990
"Universal Protection, Wealth, Spiritual Guidance, Grounding Pendant",2,199.980,-20.000,0.000,179.980,0.000,179.980
"Spiritual Healer, Immunity, Willpower, Wealth  Pendant",2,199.980,-20.000,0.000,179.980,0.000,179.980
Tea Sampler Pack,4,119.960,-2.990,0.000,116.970,0.000,116.970
"Spirituality, Connection to Higher Realms, Loyalty, Intuition  Pendant",1,99.990,-14.990,0.000,85.000,5.950,90.950
Connection to Higher Realms Tower,1,99.990,-9.990,0.000,90.000,0.000,90.000
Wealth Tower,1,99.990,-9.990,0.000,90.000,0.000,90.000
"Wealth, Love, Connection to Higher-Self, Peace Pendant",1,99.990,-10.000,0.000,89.990,0.000,89.990
"Social Anxiety, Sexual Energy, Self-Awareness, Tranquil  Pendant",1,99.990,-10.000,0.000,89.990,0.000,89.990
16oz Master tonic,2,99.980,-9.990,0.000,89.990,0.000,89.990
"Connection to Higher Realms, Wealth, Forgiveness, Peace Pendant",1,99.990,-10.000,0.000,89.990,0.000,89.990
3 Stage Pre filter system with NSF standard to protect your water ionizer,1,96.000,-14.400,0.000,81.600,0.000,81.600
Divine Will Tower,1,99.990,-29.990,0.000,70.000,0.000,70.000
Quantum Technology EMF Protection Pendant,4,73.960,-5.390,0.000,68.570,0.000,68.570
"Ascension, Wisdom, Truth, Self-Expression Pendant",1,59.990,0.000,0.000,59.990,0.000,59.990
Real Blue Light Blocking Glasses - Free 5-9 day shipping,2,59.980,0.000,0.000,59.980,0.000,59.980
Yaya Snapback Hat,2,77.970,0.000,-25.990,51.980,3.640,55.620
Yaya Backpack,1,101.000,0.000,-50.500,50.500,3.540,54.040
Earthing Pillow Case For Health & EMF Protection,1,91.600,0.000,-45.800,45.800,3.200,49.000
Recovery Syrup,1,49.990,-4.990,0.000,45.000,0.000,45.000
Yaya Crop Hoodie,1,42.000,0.000,0.000,42.000,2.940,44.940
AUGIENB Replacement Internal Active Carbon Filter For AUGIENB Alkaline Water Ionizer Purifier Machine Only,1,48.960,-4.890,0.000,44.070,0.000,44.070
Ladies' Jogger,1,39.060,0.000,0.000,39.060,2.730,41.790
Briut Essentials MICRODERMABRASION SKIN SCRUB,2,39.500,0.000,0.000,39.500,1.230,40.730
Fleece Joggers,1,32.230,0.000,0.000,32.230,2.250,34.480
Hooded T-Shirt,1,28.370,0.000,0.000,28.370,1.980,30.350
NEW! MORINGA WHITENING TOOTHPASTE + FREE BAMBOO TOOTHBRUSH,1,27.000,0.000,0.000,27.000,0.000,27.000
Yaya Dad hat,1,49.980,0.000,-24.990,24.990,1.750,26.740
Briut Essentials ACTIVATED CHARCOAL SKIN SCRUB,1,23.000,0.000,0.000,23.000,1.610,24.610
Yaya Drawstring bag,1,22.500,0.000,0.000,22.500,1.580,24.080
Tank,1,21.880,0.000,0.000,21.880,1.530,23.410
"""Warrior"" Women's Crop Top",1,26.000,-2.600,0.000,23.400,0.000,23.400
20 oz. Stainless Steel Water Bottle,1,21.000,0.000,0.000,21.000,1.470,22.470
T-Shirt,1,20.000,0.000,0.000,20.000,1.400,21.400
Yaya Socks,1,33.000,0.000,-16.500,16.500,1.160,17.660
Briut Essentials CHARCOAL WHITENING TOOTHPASTE (NON-POWDER),1,19.000,-1.900,0.000,17.100,0.000,17.100
Briut Essentials ORGANIC DEODORANT (THAT WORKS!),1,19.000,-1.900,0.000,17.100,0.000,17.100
Yaya Mug,1,26.500,0.000,-11.000,15.500,1.090,16.590
Quantum Technology Shield Mobile Phone Sticker - EMF Protection,1,10.990,-1.100,0.000,9.890,0.000,9.890
Yaya Unisex Tank Top,0,23.500,0.000,-23.500,0.000,0.000,0.000
Real Blue Light Blocking Glasses,0,19.990,0.000,-19.990,0.000,0.000,0.000
Pure Organic Tea Tree Essential Oils - Moisturizing Massage Oil,0,12.990,0.000,-12.990,0.000,0.000,0.000
