product_title,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales
Multi Mineral Blend - Pre-Order (ships within 4-8 weeks),223,5042.770,0.000,0.000,5042.770,33.250,5076.020
Multi Mineral Blend,176,8599.880,-3823.970,-50.000,4725.910,16.600,4742.510
Endocrine Bliss,56,1626.870,-681.930,0.000,944.940,25.560,970.500
Hema Health,59,1598.810,-722.940,0.000,875.870,14.600,890.470
Serenity & Strength Bundle,16,689.840,0.000,0.000,689.840,0.000,689.840
Inflammation Defense,22,1077.990,-414.000,-26.000,637.990,9.030,647.020
Conscious Collagen Skin Serum,43,874.580,-299.830,0.000,574.750,1.870,576.620
Focus Slim Power Pendant,2,69.980,0.000,0.000,69.980,0.000,69.980
Deep Sleep Power Pendant,2,69.980,0.000,0.000,69.980,0.000,69.980
Prosperity Power Pendant,2,69.980,0.000,0.000,69.980,0.000,69.980
Higher Mind Power Pendant,1,34.990,0.000,0.000,34.990,2.620,37.610
Truth Power Pendant,1,34.990,0.000,0.000,34.990,2.450,37.440
Shamanic Healer Power Pendant,1,34.990,0.000,0.000,34.990,0.000,34.990
Aboriginal Power Pendant,1,34.990,0.000,0.000,34.990,0.000,34.990
Inner Balance Power Pendant,1,34.990,0.000,0.000,34.990,0.000,34.990
Pregnancy Power Pendant,1,34.990,0.000,0.000,34.990,0.000,34.990
DNA Repair Power Pendant,1,34.990,0.000,0.000,34.990,0.000,34.990
Protector Slim Power Pendant,1,34.990,-34.990,0.000,0.000,0.000,0.000
