month,year,gross_sales,discounts,returns,net_sales,taxes,total_cost,shipping,total_sales_without_cost,total_sales_with_cost
2019-01,2019,881.25,0,0,881.25,61.69,0,0,942.94,No Cost
2019-02,2019,632.3,0,-881.25,-248.95,-17.43,0,0,-266.38,No Cost
2019-03,2019,939.42,-84.87,0,854.55,2.84,0,0,857.39,No Cost
2019-04,2019,672.87,-4.99,0,667.88,0,0,0,667.88,No Cost
2019-05,2019,544.89,-45.46,0,499.43,5.95,0,0,505.38,No Cost
2019-06,2019,729.85,-29.75,0,700.1,0,0,0,700.1,No Cost
2019-07,2019,821.83,-19.96,0,801.87,0,0,13.3,815.17,No Cost
2019-08,2019,1217.78,-65.69,0,1152.09,4.05,0,0,1156.14,No Cost
2019-09,2019,1849.78,-235.94,0,1613.84,0,0,13.3,1627.14,No Cost
2019-10,2019,1939.7,-259.84,0,1679.86,7.4,0,26.84,1714.1,No Cost
2019-11,2019,779.87,-56.94,0,722.93,0,0,13.3,736.23,No Cost
2019-12,2019,1569.75,-195.69,0,1374.06,0,0,9.5,1383.56,No Cost
2020-01,2020,1179.8,-85.92,0,1093.88,0,0,40.14,1134.02,No Cost
2020-02,2020,709.88,-65.94,0,643.94,9,0,13.54,666.48,No Cost
2020-03,2020,2179.66,-273.03,-119.98,1786.65,0,0,0,1786.65,No Cost
2020-04,2020,10964.24,-977.6,0,9986.64,52.44,0,465,10504.08,No Cost
2020-05,2020,9795.37,-1084.34,0,8711.03,52.47,0,500,9263.5,No Cost
2020-06,2020,5780.06,-818.4,0,4961.66,24.92,0,275,5261.58,No Cost
2020-07,2020,7078.89,-426.61,0,6652.28,40.88,0,260,6953.16,No Cost
2020-08,2020,12070.15,-2017.2,0,10052.95,54.04,0,380,10486.99,No Cost
2020-09,2020,24818.95,-3215.88,-311.97,21291.1,84.22,0,1115,22490.32,No Cost
2020-10,2020,10708.18,-997.42,-196.99,9513.77,36.19,0,385,9934.96,No Cost
2020-11,2020,34981.17,-15454.24,-92.49,19434.44,129.87,0,1480,21044.31,No Cost
2020-12,2020,17764.99,-8595,-705,8464.99,32.82,0,900,9397.81,No Cost
2021-01,2021,9974.15,-3500.75,-177.5,6295.9,20.83,-962.26,455,6771.73,5809.47
2021-02,2021,8822.52,-1289.2,-20,7513.32,57.68,-1591.5,409,7980,6388.5
2021-03,2021,11787.97,-1689.73,-34,10064.24,55.64,-2206.84,640,10759.88,8553.04
2021-04,2021,19981.6,-2090.56,-54,17837.04,67.58,-3673.23,1413.96,19318.58,15645.35
2021-05,2021,7193.66,-1232.38,0,5961.28,27.27,-1128.5,369.69,6358.24,5229.74
2021-06,2021,16541.59,-2218.73,-179.98,14142.88,76.42,-2612.08,656.77,14876.07,12263.99
2021-07,2021,19205.96,-3728.5,0,15477.46,43.88,-3057.73,1568.5,17089.84,14032.11
2021-08,2021,16541.51,-3292.91,0,13248.6,82.46,-2804.72,1703.5,15034.56,12229.84
2021-09,2021,14162.03,-2882.58,-149.97,11129.48,52.58,-2345.86,1320,12502.06,10156.2
2021-10,2021,24989.87,-7765.84,0,17224.03,97.99,-4098.96,2246.79,19568.81,15469.85
2021-11,2021,14152.06,-3318.52,0,10833.54,52.55,-2384.28,1405.35,12291.44,9907.16
2021-12,2021,11963.44,-3313.68,0,8649.76,51.75,-2092.05,945.91,9647.42,7555.37
2022-01,2022,13127.55,-3524.25,-25,9578.3,72.67,-2183.06,1362.4,11013.37,8830.31
2022-02,2022,12834.13,-1788.34,0,11045.79,25.76,-2374.73,1131.67,12203.22,9828.49
2022-03,2022,13672.03,-2133.83,-32.99,11505.21,63.57,-2360.58,883.49,12452.27,10091.69
2022-04,2022,9263.89,-1638.48,0,7625.41,44.61,-1441.5,626.1,8296.12,6854.62
2022-05,2022,12066.02,-1224.58,0,10841.44,46.06,-3065.16,965.54,11853.04,8787.88
2022-06,2022,3689.98,-40.98,0,3649,9.03,-1036.68,235,3893.03,2856.35
2022-07,2022,10645.82,-1494.98,-254.93,8895.91,68.39,-2575.25,722.6,9686.9,7111.65
2022-08,2022,22905,-11702.07,0,11202.93,120.16,-4537.32,1084.78,12407.87,7870.55
2022-09,2022,10405.47,-5774.49,0,4630.98,23.32,-2178.63,529.38,5183.68,3005.05
2022-10,2022,10412.68,-3935.64,0,6477.04,58.34,-1854.67,694.18,7229.56,5374.89
2022-11,2022,8547.03,-644.95,0,7902.08,47.22,-2534.28,870.59,8819.89,6285.61
2022-12,2022,7673.11,-716.72,-80.97,6875.42,58.66,-2390.88,863.95,7798.03,5407.15
2023-01,2023,5989.83,-2307.97,0,3681.86,36.56,-1086.15,451.75,4170.17,3084.02
2023-02,2023,5244.95,-2560,-50,2634.95,20.05,-932.18,310,2965,2032.82
2023-03,2023,703.07,-20.78,0,682.29,0,-293.08,0,682.29,389.21
2023-04,2023,4201.06,-205.77,-26,3969.29,29.43,-1265.55,10,4008.72,2743.17
2023-05,2023,3861.69,-883.14,0,2978.55,25.9,-1226.89,136.68,3141.13,1914.24
